"Genotype","Treatment","Trait","Location","Estimate","DF","Lower Confidence Level","Upper Confidence Level"
"Jamestown","Absent","PIT_T","HUG21",0.0238850667082678,59.972514069594,0.0187095316297887,0.0290606017867469
"LA03136E71","Absent","PIT_T","HUG21",0.0195733173212444,59.9725140695924,0.0143977822427653,0.0247488523997235
"NC11546-14","Absent","PIT_T","HUG21",0.00841039423879392,59.9725140695926,0.00323485916031483,0.013585929317273
"Shirley","Absent","PIT_T","HUG21",0.0267994433669592,59.9725140695921,0.0216239082884801,0.0319749784454383
"SS8641","Absent","PIT_T","HUG21",0.0296260429789505,59.9725140695921,0.0244505079004714,0.0348015780574296
"USG3404","Absent","PIT_T","HUG21",0.0269957714641909,59.9725140695921,0.0218202363857118,0.03217130654267
"Jamestown","Present","PIT_T","HUG21",0.00643983135701558,59.9725140695914,0.00126429627853649,0.0116153664354947
"LA03136E71","Present","PIT_T","HUG21",0.00134561463154369,59.9725140695921,-0.00382992044693541,0.00652114971002278
"NC11546-14","Present","PIT_T","HUG21",0.00370676526981807,59.9725140695926,-0.00146876980866102,0.00888230034829717
"Shirley","Present","PIT_T","HUG21",0.013749369041142,59.9725140695924,0.00857383396266293,0.0189249041196211
"SS8641","Present","PIT_T","HUG21",0.0186095158529691,59.9725140695919,0.01343398077449,0.0237850509314482
"USG3404","Present","PIT_T","HUG21",0.0208545762545099,59.9725140695921,0.0156790411760308,0.026030111332989
"Jamestown","Absent","PIT_T","HUG22",0.027854847585438,74.317260494187,0.0226233461815481,0.0330863489893278
"LA03136E71","Absent","PIT_T","HUG22",0.0206875126564432,74.3172604941874,0.0154560112525533,0.025919014060333
"NC11546-14","Absent","PIT_T","HUG22",0.0137851011058861,74.3172604941874,0.00855359970199625,0.019016602509776
"Shirley","Absent","PIT_T","HUG22",0.0336958659201317,74.3172604941878,0.0284643645162419,0.0389273673240216
"SS8641","Absent","PIT_T","HUG22",0.030815392723562,74.3172604941874,0.0255838913196721,0.0360468941274518
"USG3404","Absent","PIT_T","HUG22",0.0316795694715885,74.3172604941874,0.0264480680676987,0.0369110708754784
"Jamestown","Present","PIT_T","HUG22",0.0206897699118107,74.3172604941889,0.0154582685079209,0.0259212713157005
"LA03136E71","Present","PIT_T","HUG22",0.0120233050514615,74.3172604941878,0.00679180364757166,0.0172548064553514
"NC11546-14","Present","PIT_T","HUG22",0.0142933533739193,76.686892830934,0.00871447371388211,0.0198722330339565
"Shirley","Present","PIT_T","HUG22",0.0306724265620663,76.686892830934,0.0250935469020291,0.0362513062221035
"SS8641","Present","PIT_T","HUG22",0.0250627747517507,74.3172604941878,0.0198312733478608,0.0302942761556405
"USG3404","Present","PIT_T","HUG22",0.0238195775288689,74.3172604941874,0.018588076124979,0.0290510789327587
"Jamestown","Absent","PIT_T","CUN22",0.0320137758342826,83.0000000000023,0.0267437657210896,0.0372837859474756
"LA03136E71","Absent","PIT_T","CUN22",0.0142627544572552,82.9999999999996,0.00861172631370121,0.0199137826008092
"NC11546-14","Absent","PIT_T","CUN22",0.00499419644396274,82.9999999999996,-0.000275813669230256,0.0102642065571557
"Shirley","Absent","PIT_T","CUN22",0.0316890456259608,82.9999999999996,0.0264190355127678,0.0369590557391538
"SS8641","Absent","PIT_T","CUN22",0.0283244264591459,83,0.0230544163459529,0.0335944365723389
"USG3404","Absent","PIT_T","CUN22",0.0298458528565143,82.9999999999996,0.0245758427433213,0.0351158629697073
"Jamestown","Present","PIT_T","CUN22",0.028296541367451,82.9999999999991,0.023026531254258,0.033566551480644
"LA03136E71","Present","PIT_T","CUN22",0.0169933105329547,83,0.0117233004197617,0.0222633206461477
"NC11546-14","Present","PIT_T","CUN22",0.00470169669624757,83,-0.000568313416945429,0.00997170680944056
"Shirley","Present","PIT_T","CUN22",0.0289962393450837,82.9999999999996,0.0237262292318907,0.0342662494582767
"SS8641","Present","PIT_T","CUN22",0.0289990512229051,82.9999999999996,0.0237290411097121,0.0342690613360981
"USG3404","Present","PIT_T","CUN22",0.0286220051737754,83,0.0233519950605824,0.0338920152869684
"Jamestown","Absent","PIT_T","CAS22",0.0237186538923663,82.8370185352205,0.0179564572374737,0.0294808505472588
"LA03136E71","Absent","PIT_T","CAS22",0.0166063193688409,82.8370185352256,0.0108441227139483,0.0223685160237335
"NC11546-14","Absent","PIT_T","CAS22",0.00660972563935109,82.8370185352256,0.000847528984458515,0.0123719222942437
"Shirley","Absent","PIT_T","CAS22",0.0311963819081918,82.8370185352251,0.0254341852532992,0.0369585785630844
"SS8641","Absent","PIT_T","CAS22",0.0258287509833149,82.8370185352251,0.0200665543284224,0.0315909476382075
"USG3404","Absent","PIT_T","CAS22",0.0244807081554412,82.8370185352256,0.0187185115005486,0.0302429048103338
"Jamestown","Present","PIT_T","CAS22",0.0192054207239823,82.8370185352256,0.0134432240690897,0.0249676173788749
"LA03136E71","Present","PIT_T","CAS22",0.00944268829514924,82.8370185352251,0.00368049164025666,0.0152048849500418
"NC11546-14","Present","PIT_T","CAS22",0.0029086249746498,82.9051224812429,-0.00326709861238478,0.00908434856168438
"Shirley","Present","PIT_T","CAS22",0.020980043561637,82.8370185352251,0.0152178469067444,0.0267422402165296
"SS8641","Present","PIT_T","CAS22",0.0226197129533505,82.8370185352256,0.0168575162984579,0.028381909608243
"USG3404","Present","PIT_T","CAS22",0.0237331052234755,82.8370185352251,0.0179709085685829,0.0294953018783681
"Jamestown","Absent","NOPPT_T","HUG21",0.0211038685481775,60.0000000000004,0.016083986215932,0.0261237508804231
"LA03136E71","Absent","NOPPT_T","HUG21",0.020288498253053,60,0.0152686159208074,0.0253083805852986
"NC11546-14","Absent","NOPPT_T","HUG21",0.0097930170989811,60,0.0047731347667355,0.0148128994312267
"Shirley","Absent","NOPPT_T","HUG21",0.0247003218966832,60,0.0196804395644377,0.0297202042289288
"SS8641","Absent","NOPPT_T","HUG21",0.0281661170700001,60,0.0231462347377545,0.0331859994022457
"USG3404","Absent","NOPPT_T","HUG21",0.0251737154244769,60,0.0201538330922313,0.0301935977567225
"Jamestown","Present","NOPPT_T","HUG21",0.00603813728200026,59.9999999999995,0.00101825494975469,0.0110580196142458
"LA03136E71","Present","NOPPT_T","HUG21",0.00205219631352814,60,-0.00296768601871745,0.00707207864577373
"NC11546-14","Present","NOPPT_T","HUG21",0.00383815910878636,60,-0.00118172322345924,0.00885804144103195
"Shirley","Present","NOPPT_T","HUG21",0.0138146383688073,60,0.00879475603656169,0.0188345207010529
"SS8641","Present","NOPPT_T","HUG21",0.0163585707453049,60,0.0113386884130593,0.0213784530775504
"USG3404","Present","NOPPT_T","HUG21",0.0196761975018926,60,0.014656315169647,0.0246960798341382
"Jamestown","Absent","NOPPT_T","HUG22",0.0217588532636961,67.8822191992142,0.0178918057084585,0.0256259008189337
"LA03136E71","Absent","NOPPT_T","HUG22",0.0170380798899572,67.8822191992133,0.0131710323347196,0.0209051274451948
"NC11546-14","Absent","NOPPT_T","HUG22",0.0095477907982296,67.8822191992133,0.00568074324299202,0.0134148383534672
"Shirley","Absent","NOPPT_T","HUG22",0.0249771599068149,67.8822191992133,0.0211101123515774,0.0288442074620525
"SS8641","Absent","NOPPT_T","HUG22",0.0242913309431328,67.8822191992133,0.0204242833878953,0.0281583784983704
"USG3404","Absent","NOPPT_T","HUG22",0.0250975581689529,67.8822191992133,0.0212305106137153,0.0289646057241904
"Jamestown","Present","NOPPT_T","HUG22",0.015495042850159,67.8822191992124,0.0116279952949214,0.0193620904053966
"LA03136E71","Present","NOPPT_T","HUG22",0.00885871308870057,67.882219199213,0.00499166553346299,0.0127257606439382
"NC11546-14","Present","NOPPT_T","HUG22",0.0108306919383467,71.6128800993435,0.00671923450051557,0.0149421493761778
"Shirley","Present","NOPPT_T","HUG22",0.0225019633376953,71.6128800993435,0.0183905058998642,0.0266134207755264
"SS8641","Present","NOPPT_T","HUG22",0.020006535756061,67.8822191992133,0.0161394882008235,0.0238735833112986
"USG3404","Present","NOPPT_T","HUG22",0.0184851121644069,67.8822191992133,0.0146180646091693,0.0223521597196445
"Jamestown","Absent","NOPPT_T","CUN22",0.0279985548940785,82.9639170241294,0.0236759626083675,0.0323211471797894
"LA03136E71","Absent","NOPPT_T","CUN22",0.0124292488061421,82.97944178785,0.00779513410606031,0.0170633635062238
"NC11546-14","Absent","NOPPT_T","CUN22",0.00486419063657995,82.9639170241276,0.000541598350868988,0.00918678292229091
"Shirley","Absent","NOPPT_T","CUN22",0.0271995534195756,82.9639170241281,0.0228769611338646,0.0315221457052866
"SS8641","Absent","NOPPT_T","CUN22",0.0227795365247593,82.9639170241276,0.0184569442390484,0.0271021288104703
"USG3404","Absent","NOPPT_T","CUN22",0.024474112730116,82.9639170241276,0.020151520444405,0.028796705015827
"Jamestown","Present","NOPPT_T","CUN22",0.0234342708896275,82.963917024129,0.0191116786039165,0.0277568631753384
"LA03136E71","Present","NOPPT_T","CUN22",0.0128390735616344,82.9639170241276,0.00851648127592341,0.0171616658473453
"NC11546-14","Present","NOPPT_T","CUN22",0.00452038605212439,82.9639170241276,0.000197793766413424,0.00884297833783535
"Shirley","Present","NOPPT_T","CUN22",0.0248327916103386,82.9639170241281,0.0205101993246276,0.0291553838960495
"SS8641","Present","NOPPT_T","CUN22",0.0247830699328029,82.9639170241276,0.0204604776470919,0.0291056622185138
"USG3404","Present","NOPPT_T","CUN22",0.0255083840663352,82.9639170241276,0.0211857917806243,0.0298309763520462
"Jamestown","Absent","NOPPT_T","CAS22",0.0208171381190115,82.9999999999954,0.0161528368537601,0.0254814393842628
"LA03136E71","Absent","NOPPT_T","CAS22",0.0155983634677342,83,0.0109340622024829,0.0202626647329856
"NC11546-14","Absent","NOPPT_T","CAS22",0.00696826756516162,83,0.00230396629991028,0.011632568830413
"Shirley","Absent","NOPPT_T","CAS22",0.0266130550373908,83,0.0219487537721394,0.0312773563026421
"SS8641","Absent","NOPPT_T","CAS22",0.0229214466505598,83,0.0182571453853084,0.0275857479158111
"USG3404","Absent","NOPPT_T","CAS22",0.0218210134854507,83,0.0171567122201994,0.0264853147507021
"Jamestown","Present","NOPPT_T","CAS22",0.0172761660838679,83.0000000000005,0.0126118648186166,0.0219404673491193
"LA03136E71","Present","NOPPT_T","CAS22",0.00875450108342828,83,0.00409019981817694,0.0134188023486796
"NC11546-14","Present","NOPPT_T","CAS22",0.00319685578749383,83,-0.00180467118376656,0.00819838275875421
"Shirley","Present","NOPPT_T","CAS22",0.0182326911887762,83,0.0135683899235248,0.0228969924540275
"SS8641","Present","NOPPT_T","CAS22",0.0194729073718706,83,0.0148086061066192,0.0241372086371219
"USG3404","Present","NOPPT_T","CAS22",0.0203586754371602,83,0.0156943741719089,0.0250229767024116
"Jamestown","Absent","Grain Yield","HUG21",2.81683584952233,42.0620159736744,2.55261557745725,3.08105612158742
"LA03136E71","Absent","Grain Yield","HUG21",3.48759671157651,42.062015973675,3.22337643951142,3.75181698364159
"NC11546-14","Absent","Grain Yield","HUG21",4.50699129858963,42.0620159736751,4.24277102652455,4.77121157065472
"Shirley","Absent","Grain Yield","HUG21",2.88266291078642,42.062015973675,2.61844263872134,3.14688318285151
"SS8641","Absent","Grain Yield","HUG21",3.8651934581636,46.862310299936,3.57959908199705,4.15078783433015
"USG3404","Absent","Grain Yield","HUG21",1.24596750087441,42.062015973675,0.981747228809326,1.5101877729395
"Jamestown","Present","Grain Yield","HUG21",3.44017919565222,42.0620159736753,3.17595892358713,3.7043994677173
"LA03136E71","Present","Grain Yield","HUG21",3.76736128341757,42.062015973675,3.50314101135248,4.03158155548265
"NC11546-14","Present","Grain Yield","HUG21",4.25569661938804,42.0620159736751,3.99147634732296,4.51991689145313
"Shirley","Present","Grain Yield","HUG21",3.76341450142476,42.0620159736751,3.49919422935968,4.02763477348985
"SS8641","Present","Grain Yield","HUG21",4.18113752223053,42.0620159736749,3.91691725016544,4.44535779429561
"USG3404","Present","Grain Yield","HUG21",2.18560551737681,42.0620159736749,1.92138524531173,2.4498257894419
"Jamestown","Absent","Grain Yield","HUG22",1.56520086563498,76.1900177340522,1.32421490564007,1.80618682562988
"LA03136E71","Absent","Grain Yield","HUG22",1.7572832093382,76.1900177340514,1.5162972493433,1.99826916933311
"NC11546-14","Absent","Grain Yield","HUG22",3.33157549962731,76.1900177340514,3.0905895396324,3.57256145962222
"Shirley","Absent","Grain Yield","HUG22",1.19412745675956,76.1900177340514,0.953141496764657,1.43511341675447
"SS8641","Absent","Grain Yield","HUG22",1.51227059699677,76.1900177340514,1.27128463700187,1.75325655699168
"USG3404","Absent","Grain Yield","HUG22",1.03030154371764,76.1900177340514,0.789315583722737,1.27128750371255
"Jamestown","Present","Grain Yield","HUG22",1.71315142779442,76.1900177340518,1.47216546779951,1.95413738778933
"LA03136E71","Present","Grain Yield","HUG22",1.90313192508107,76.1900177340514,1.66214596508616,2.14411788507598
"NC11546-14","Present","Grain Yield","HUG22",3.43923173637458,76.1900177340514,3.19824577637967,3.68021769636949
"Shirley","Present","Grain Yield","HUG22",1.94743775971074,76.1900177340514,1.70645179971584,2.18842371970565
"SS8641","Present","Grain Yield","HUG22",1.8204196712044,76.1900177340514,1.5794337112095,2.06140563119931
"USG3404","Present","Grain Yield","HUG22",1.4834896760097,76.1900177340514,1.24250371601479,1.72447563600461
"Jamestown","Absent","Grain Yield","CUN22",1.60277405753483,65.652960014759,1.32288867206836,1.88265944300129
"LA03136E71","Absent","Grain Yield","CUN22",1.65039933315954,65.6529600147579,1.37051394769308,1.93028471862601
"NC11546-14","Absent","Grain Yield","CUN22",3.76988235208394,65.6529600147582,3.48999696661748,4.04976773755041
"Shirley","Absent","Grain Yield","CUN22",1.18514870039763,65.6529600147582,0.905263314931166,1.4650340858641
"SS8641","Absent","Grain Yield","CUN22",2.14365645427938,65.6529600147579,1.86377106881291,2.42354183974584
"USG3404","Absent","Grain Yield","CUN22",1.19430798503465,65.6529600147579,0.914422599568186,1.47419337050112
"Jamestown","Present","Grain Yield","CUN22",1.98447829331362,69.9173916054727,1.68728645916001,2.28167012746723
"LA03136E71","Present","Grain Yield","CUN22",1.70648120588855,65.6529600147579,1.42659582042208,1.98636659135501
"NC11546-14","Present","Grain Yield","CUN22",3.83046059619826,65.6529600147579,3.55057521073179,4.11034598166473
"Shirley","Present","Grain Yield","CUN22",1.8625918014866,65.6529600147579,1.58270641602013,2.14247718695307
"SS8641","Present","Grain Yield","CUN22",2.3666767339983,65.6529600147576,2.08679134853183,2.64656211946477
"USG3404","Present","Grain Yield","CUN22",1.45261519684823,65.6529600147579,1.17272981138177,1.7325005823147
"Jamestown","Absent","Grain Yield","CAS22",1.20463850189542,83.999999999996,0.97272714015598,1.43654986363487
"LA03136E71","Absent","Grain Yield","CAS22",1.51636835573451,83.9999999999998,1.28445699399506,1.74827971747395
"NC11546-14","Absent","Grain Yield","CAS22",3.19290181154089,83.9999999999998,2.96099044980145,3.42481317328033
"Shirley","Absent","Grain Yield","CAS22",1.80970452810474,83.9999999999998,1.57779316636529,2.04161588984418
"SS8641","Absent","Grain Yield","CAS22",2.15520197564294,83.9999999999998,1.9232906139035,2.38711333738239
"USG3404","Absent","Grain Yield","CAS22",1.41404223573484,83.9999999999998,1.18213087399539,1.64595359747428
"Jamestown","Present","Grain Yield","CAS22",1.54197824706315,84.0000000000008,1.31006688532371,1.77388960880259
"LA03136E71","Present","Grain Yield","CAS22",1.53025685956072,84.0000000000008,1.29834549782128,1.76216822130016
"NC11546-14","Present","Grain Yield","CAS22",3.42806695613638,83.9999999999998,3.19615559439694,3.65997831787582
"Shirley","Present","Grain Yield","CAS22",2.46351759171698,83.9999999999998,2.23160622997753,2.69542895345642
"SS8641","Present","Grain Yield","CAS22",2.38683736509794,83.9999999999998,2.1549260033585,2.61874872683739
"USG3404","Present","Grain Yield","CAS22",1.5971779400146,84.0000000000003,1.36526657827516,1.82908930175404
